word_id,eng_word,pl_translation,part_of_speech
1,slight,niewielki,adjective
2,sunscreen,krem z filtrem,noun
3,scientific,naukowy,adjective
4,briefly,krótko,adverb
5,bore,nudzić/nudziarz,verb/noun
6,swerve,zboczenie,verb/noun
7,possess,posiadać,verb
8,revision,rewizja,noun
9,orphanage,sierociniec,noun
10,commence,rozpocząć,verb
11,crosswalk,przejście dla pieszych,noun
12,establish,ustanowić,verb
13,abbreviation,skrót,noun
14,pullover,sweter (wciągany przez głowę),noun
15,excess,nadwyżka,noun/adjective
16,prawns,krewetka,noun
17,rinse,wypłukać,verb
18,obesity,otyłość,noun
19,pointed,ostro zakończony,adjective
20,sensible,rozsądny,adjective
21,idle,bezczynny,adjective/verb
22,occupation,zawód,noun
23,omit,pomijać,verb
24,thread,wątek,noun
25,scold,nakrzyczeć,verb
26,handout,rozdać,noun/verb
27,wage,płaca,noun/verb
28,lorry,ciężarówka,noun
29,duvet,kołdra (rzadko się z tym spotykam),noun
30,significance,istotność,noun
31,humid,wilgotny,adjective
32,enclose,"dołączać (np załącznik), ująć",verb
33,fold,składać (np. pranie),verb
34,odd,dziwny,adjective
35,cruise,rejs,noun/verb
36,fixed,naprawiony (a w przypadku psa - wykastrowany),adjective/verb
37,trunk,bagażnik,noun
38,conditioning,"warunkowanie (można tego słowa też użyć jako używanie odżywki, odżywka to też condition)",noun
39,outstanding,wybitny,adjective
40,drought,susza,noun
41,thus,a zatem,adverb
42,overtake,przejąć,verb
43,cellist,wiolonczelista? (cello to wiolonczela),noun
44,eventually,ostatecznie,adverb
45,prefix,przedrostek,noun/verb
46,altogether,ogółem,adverb
47,fairly,całkiem,adverb
48,casual,nieformalny,adjective
49,suntan,opalenizna (raczej się spotykałam z po prostu tan),noun
50,custom,zwyczaj,noun
51,willing,chętny,adjective
52,anxiety,lęk,noun
53,kettle,czajnik,noun
54,clerk,sprzedawca,noun
55,vacant,pusty,adjective
56,junction,skrzyżowanie,noun
57,soil,gleba,noun
58,roughly,około,adverb
59,litter,śmieci,noun/verb
60,punctuation,interpunkcja,noun
61,oar,wiosło,noun
62,harsh,ostry,adjective
63,consequence,konsekwencja,noun
64,significant,istotny,adjective
65,bridegroom,pan młody,noun
66,conjunction,spójnik,noun
67,chopsticks,pałeczki,noun
68,attendance,obecność,noun
69,emphasize,podkreślić,verb
70,several,kilka,determiner
71,loads,masa,noun
72,provide,dostarczać,verb
73,pattern,wzór,noun
74,cast,rzucać (np cień albo czar),verb
75,comfort,wygoda,noun
76,labour,ciężka praca,noun
77,encourage,zachęcać,verb
78,wrap,owinąć,verb
79,gradual,stopniowy,adjective
80,chief,szef,noun/adjective
81,variety,różnorodność,noun
82,engagement,zaręczyny,noun
83,seek,szukać,verb
84,capable,zdolny (do czegoś),adjective
85,puncture,nakłucie,noun/verb
86,income,dochód,noun
87,tin,puszka,noun
88,sights,widoki,noun
89,occur,występować,verb
90,convert,konwertować,verb
91,forbid,zabraniać,verb
92,greenhouse,szklarnia,noun
93,pleasant,przyjemny,adjective
94,marvellous,cudowny,adjective
95,importance,istotność,noun
96,management,zarządzanie,noun
97,footpath,chodnik,noun
98,kindness,dobro,noun
99,diagram,diagram,noun
100,weed,chwast,noun
101,scenery,"sceneria, krajobraz",noun
102,perform,występować,verb
103,settle,rostrzygnąć/osiadać,verb
104,luckily,szczęśliwie,adverb
105,overseas,zagraniczny,adjective
106,pronunciation,"wymowa, artykulacja",noun
107,convenience,wygoda,noun
108,shepherd,pasterz,noun
109,aircraft,samolot,noun
110,recession,recesja,noun
111,division,podział,noun
112,strict,surowy,adjective
113,honour,"honorować, zaszczycać",verb/noun
114,postgraduate,podyplomowy,adjective/noun
115,combine,"łączyć, kombinować",verb/noun
116,overtime,nadgodziny,noun/adverb
117,getaway,"ucieczka, krótkie wakacje",noun
118,takeaway,"na wynos, przekąska na wynos",noun
119,depress,przygnębiać,verb
120,advance,"postęp, zaliczyć do wyższej klasy",noun/verb
121,customary,zwyczajowy,adjective
122,worldwide,światowy,adjective
123,log,"kłoda, dziennik",noun
124,current,"obecny, bieżący",adjective/noun
125,engaged,"zaręczony, zaangażowany",adjective/verb
126,self,sam,pronoun/noun
127,transportation,"transport, przewóz",noun
128,mean,"znaczyć, średnia arytmetyczna",verb/noun
129,boxing,boks,noun
130,growth,wzrost,noun
131,declare,"oświadczać, deklarować",verb
132,voyage,podróż morska,noun
133,tiring,męczący,adjective
134,scale,skala,noun/verb
135,pole,"biegun, słupek",noun
136,arts,sztuka,noun
137,packed,"zapakowany, zatłoczony",adjective
138,repetition,powtórzenie,noun
139,dictation,dyktando,noun
140,bargain,okazja,noun/verb
141,cassette,kaseta,noun
142,drop,kropla,noun/verb
143,induce,wywoływać,verb
144,voluntary,dobrowolny,adjective
145,moth,ćma,noun
146,avenge,pomścić,verb
147,summit,szczyt,noun
148,whether,czy,conjunction
149,engage,angażować,verb
150,resorting,uciekanie się do,verb/noun
151,whatever it takes,za wszelką cenę,phrase
152,actualize,urzeczywistnić,verb
153,disposal,pozbycie się,noun
154,interfere,przeszkadzać,verb
155,brat,bachor,noun
156,hold back,powstrzymywać,verb
157,ought,powinno się,modal verb
158,indulgent,pobłażliwy,adjective
159,incivilities,nieuprzejmości,noun
160,lenient,pobłażliwy,adjective
161,consideration,rozważenie,noun
162,rather,raczej,adverb
163,merely,"jedynie, tylko",adverb
164,drew,"narysować, wyciągnąć",verb
165,hatred,nienawiść,noun
166,preside,przewodniczyć,verb
167,predecessor,poprzednik,noun
168,exaggerating,przesadzanie,verb
169,composed,skomponowany,adjective
170,utilize,wykorzystać,verb
171,convene,zwołać,verb
172,splendid,wspaniały,adjective
173,rein,"wodze, hamować",noun/verb
174,solely,wyłącznie,adverb
175,squabble,sprzeczka,noun/verb
176,differ,różnić się,verb
177,falsehood,fałsz,noun
178,assume,zakładać,verb
179,soaked,przemoczony,adjective
180,sage,mędrzec,noun/adjective
181,toward,w kierunku,preposition
182,enraged,rozwścieczony,adjective
183,descend,"schodzić, zejście",verb
184,descendant,potomek,noun
185,predestined,przeznaczony,adjective
186,proof,dowód,noun
187,supreme,najwyższy,adjective
188,moniker,przydomek,noun
189,biased,stronniczy,adjective
190,swathed,zawinięty,adjective
191,incorporate,włączać,verb
192,barred,zabroniony,adjective
193,forsake,porzucać,verb
194,retrieval,odzyskiwanie,noun
195,venue,miejsce,noun
196,reconnoiter,rozpoznać,verb
197,surpass,przewyższać,verb
198,fetching,uroczy,adjective
199,grudge,niechęć,noun
200,shall,powinien,modal verb
201,revere,czcić,verb
202,mere,"zaledwie, jedynie",adverb
203,nonetheless,niemniej jednak,adverb
204,persistent,trwały,adjective
205,leper,trędowaty,noun
206,tumor,guz,noun
207,reject,odrzucać,verb
208,often,często,adverb
209,revolt,bunt,noun/verb
210,seduce,uwieść,verb
211,ambiguous,dwuznaczny,adjective
212,embrace,uścisk,verb/noun
213,rid,pozbyć się,verb
214,assault,atak,noun/verb
215,petal,płatek,noun
216,apprehensive,"lękliwy, uporczywy, wytrwały",adjective
217,bonnet,czapeczka,noun
218,grief,"smutek, żal",noun
219,refrain,refren,noun/verb
220,sober,trzeźwy,adjective
221,consent,zgoda,noun/verb
222,bend,zakręt,noun/verb
223,farther,"dalej, ponadto",adverb
224,involve,dotyczyć,verb
225,drag,"ciągnąć, wlec",verb/noun
226,prosecution,oskarżenie,noun
227,testimony,"świadectwo, zeznanie",noun
228,encounter,"spotkanie, pojedynek, starcie",noun/verb
229,snuggle,tulić się,verb
230,compassion,współczucie,noun
231,tend,zmierzać,verb
232,define,definiować,verb
233,plurality,mnogość,noun
234,impoverish,zubożyć,verb
235,among,pośród,preposition
236,wherewithal,potrzebne środki,noun
237,entice,wabić,verb
238,dent,wygięcie,noun/verb
239,bloom,kwiat,noun/verb
240,diversity,różnorodność,noun
241,genocide,ludobójstwo,noun
242,carnage,rzeź,noun
243,slaughter,"ubój, wymordowywanie, pogrom",noun/verb
244,atrocity,okrócieństwo,noun
245,set off,wyruszać,phrasal verb
246,imminent,"bliski, nadciągający, nadchodzący",adjective
247,upon,na,preposition
248,prophetic,proroczy,adjective
249,beyond,poza (ogrodzeniem),preposition
250,predict,przewidywać,verb
251,bloodshed,rozlew krwii,noun
252,encompassed,Objęte,verb
253,disrupt,zakłócać,verb
254,accomplish,ukończyć,verb
255,commitment,zaangażowanie,noun
256,insult,zniewaga,noun/verb
257,despicable,podły,adjective
258,struggle,walczyć/borykać się,noun/verb
259,aisle,nawa boczna/przejście,noun
260,itchy,swędzący,adjective
261,divide,podzielony,verb/adjective
262,strayed,zbłąkane,adjective
263,boundary,rubież/granica,noun
264,decay,rozkład/rozpad/zanikać/próchnieć,noun/verb
265,embers,żar,noun
266,glimpse,dojrzeć/ujrzeć,noun/verb
267,inner,wewnętrzny,adjective
268,sleepwalking,lunatykowanie,noun
269,unfurle,rozpostrzeć się,verb
270,altitude,wzniesienie/wyżyna,noun
271,lackey,lokaj,noun
272,sloop,slup,noun
273,anchor,kotwica,noun/verb
274,acquired,nabyty,adjective
275,desolate,opustoszały,adjective
276,exile,wygnanie,noun/verb
277,stake,stawka,noun
278,chart,"wykres, mapa",noun/verb
279,bound,"granica, skok",noun/verb
280,vermin,"szkodniki, robactwo",noun
281,lad,chłopak,noun
282,string up,powiesić,verb
283,haywire,pogmatwany,adjective
284,arise,powstać,verb
285,exaggerating,wyolbrzymiać,verb
286,inane,głupkowaty,adjective
287,mankind,ludzkość,noun
288,preach,kazanie,verb
289,underestimate,nie doceniać,verb
290,beckons,kiwać,verb
291,gloomy,ponury,adjective
292,intimidate,zastraszyć,verb
293,infidel,niewierny,noun/adjective
294,reference,odniesienie,noun
295,perpetrator,sprawca,noun
296,zigzagging,zygzakowanie,verb/adjective
297,alleged,rzekomy,adjective
298,detention,aresztowanie,noun
299,implicated,zamieszany,adjective/verb
300,according,według,preposition
301,deaf,głuchy,adjective
302,burden,obciążenie,noun
303,miserable,"nieszczęśliwy, nędzny",adjective
304,subconscious,podświadomy,adjective
305,unbearable,nie do zniesienia,adjective
306,yawn,ziewać,verb
307,contagious,zaraźliwy,adjective
308,get rid,pozbyć się,verb
309,schedule,harmonogram,noun
310,overdo,"przedobrzyć, przesadzić z czymś",verb
311,whack,walnięcie,noun
312,appeal,apelujący,adjective
313,ephemeral,"efemeryczny, krótkotrwały ",adjective
314,munted,oszołomiony,adjective
315,oversea,za granicą,adverb
316,unpleasant,nieprzyjemny,adjective
317,aware,świadomy,adjective
318,gullible,łatwowierny,adjective
319,tempt,kusić,verb
320,survey,ankieta,noun
321,bother,zawracać głowę,verb
322,chilly,chłodny,adjective
323,owe,zawdzięczać,verb
324,compassionate,współczujący,adjective
325,chamberlains,"szambelan, kamerdyner",noun
326,viral,wirusowy,adjective
327,reveal,odsłonić,verb
328,bunch,"wiązka, grono",noun
329,poll,głosowanie,noun
330,jeopardy,niebezpieczeństwo,noun
331,retrieve,odzyskać,verb
332,although,"mimo że, chociaż",conjunction
333,enlist,zwerbować,verb
334,scanty,ubogi,adjective
335,strap,pasek,noun
336,vigilantes,czujni,noun
337,affair,romans,noun
338,thirst,pragnienie,noun
339,scattered,porozrzucany,adjective
340,certain,pewien (czegoś),adjective
341,decent,przyzwoity,adjective
342,despite,pomimo,preposition
343,slope,"stok, nachylenie",noun
344,slope,"praca, robocizna",noun
345,gotta,musieć,verb
346,plunder,plądrowanie,noun
347,obscure,"niejasny, niezrozumiały, mroczny",adjective
348,whip,bat,noun
349,fetch,sprowadzać,verb
350,humankind,ludzkość,noun
351,kindred,"pokrewny, krewni",adjective
352,shrunk,"kurczyć, kurczyć się",verb
353,ferocity,"dzikość, okrucieństwo",noun
354,distinguished,"wybitny, wytworny",adjective
355,malice,"zła wola, złośliwość",noun
356,gloom,mrok,noun
357,crept,skradał się (creep),verb
358,rumor,plotka,noun
359,perceive,dostrzec,verb
360,intend,zamierzać,verb
361,humming,nucenie,noun
362,eager,"żądny, chętny",adjective
363,grin,szczerzyć zęby w uśmiechu,verb/noun
364,require,wymagać,verb
365,reign,królować,verb/noun
366,asset,obiekt,noun
367,develop,rozwijać,verb
368,ridicule,wyszydzać,verb/noun
369,deride,wyszydzać,verb
370,mercifully,miłosiernie,adverb
371,muss,zamieszanie,noun/verb
372,uptight,napięty,adjective
373,gaga,umysłowo zdezorientowany z powodu nadmiernego podekscytowania,adjective/noun
374,to exact,żądać i uzyskiwać siłą,verb
375,unobtrusive,nie rzucający się w oczy,adjective
376,encased,"zamknięte, przykryte obudową",adjective
377,brass,hajs,noun
378,draft card,wezwanie na wojne,noun
379,toothpick,wykałaczka,noun
380,to chain,zapiąć łańcuchem,verb
381,ludicrous,"tak głupie, że aż warte wyśmiania, absurd",adjective
382,licorice,lukrecja,noun
383,treat,"poczęstunek, wielka przyjemność",noun
384,abruptly,gwałtownie,adverb
385,soot,sadza,noun
386,dropout,porzucić szkołę,noun
387,ridiculous,ekstrawagancko abawny,adjective
388,soak,moczyć,verb
389,aleck,Alek,noun
390,approach,podejście,"noun, verb"
391,hassle,kłopot,noun
392,sophisticated,wyrafinowany,adjective
393,renowned,znany z (czegoś),adjective
394,prowess,"waleczność, dzielność",noun
395,tonsil,migdałek,noun
396,grope,iść po omacku,verb
397,lean,opierać się,verb
398,brush,otrzeć,verb
399,dispatcher,dyspozytor,noun
400,bystander,"przechodzeń, widz",noun
401,precinct,"okręg, okolica",noun
402,relate,odnosić się,verb
403,curfew,godzina policyjna,noun
404,lung,płuco,noun
405,disenfranchised,pozbawieni praw,adjective
406,hunky-dory,klawo,adjective
407,errand,zadanie,noun
408,lingerie,bielizna damska,noun
409,wither,uschnąć,verb
410,debt,dług,noun
411,condemned,skazany,adjective
412,disposable,jednorazowy,adjective
413,remorse,"skrucha, żal",noun
414,temptation,pokusa,noun
415,circumferentially,obwodowo,adverb
416,reinforcement,wzmocnienie,noun
417,ply,warstwa,noun
418,carcass,osnowa,noun
419,issue,zagadnienie,noun
420,principal,główny,adjective
421,denial,odmowa,noun
422,overwhelming,przytłaczający,adjective
423,abuse,nadużycie,noun
424,sole,jedyny,adjective
425,throughout,poprzez,preposition
426,wary,ostrożny,adjective
427,shakedown,zażądanie spłaty,noun
428,covert,ukryty/potajemny,adjective
429,unearth,wykopać,verb
430,excavation,wykop (przy wykopaliskach),noun
431,evaluate,oceniać,verb
432,be in charge,być odpowiedzialnym za…,phrase
433,spectre,widmo,noun
434,expose,uwidocznić/eksponować,verb
435,revoke,odwołać,verb
436,ascension,wniebowstąpienie,noun
437,particular,"szczególny, konkretny, specyficzny",adjective
438,concern,dotyczyć,verb
439,further,dalej,adverb
440,recon,zwiad,noun
441,allegation,zarzut,noun
442,sincere,szczery,adjective
443,blight,zaraza roślinna,noun
444,either,"conjuction - bądź, adverb - też, pronoun - obaj",conjunction
445,tissue,chusteczka papierowa,noun
446,sue,pozwać/zaskarżyć,verb
447,resemble,przypominać (kogoś z wyglądu),verb
448,hostage,zakładnik,noun
449,gaze,wzrok,noun/verb
450,vigilant,czujny,adjective
451,dais,podium,noun
452,extinguish,gasić,verb
453,urge,nalegać/namawiać/popęd [a strong desire or impulse],verb/noun
454,bounty,chojność/premia,noun
455,kindle,rozpalać/rozżarzać,verb
456,ascend,wspiąć się,verb
457,beneath,pod,preposition
458,silhouette,sylwetka,noun
459,veer,zmieniać kierunek,verb
